"date","open","high","close","volume"
2011-02-23,305.470000,307.658000,305.966000,5773400.000000
2011-02-24,306.001000,306.852000,304.715000,5417900.000000
2011-02-25,306.236000,307.668000,305.325000,3860900.000000
2011-02-28,305.305000,308.554000,307.007000,4558400.000000
2011-03-01,309.199000,309.920000,300.681000,6639700.000000
2011-03-02,300.200000,303.303000,300.696000,4049300.000000
2011-03-03,303.493000,306.051000,305.085000,3886700.000000
2011-03-04,304.469000,304.795000,300.611000,6015900.000000
2011-03-07,300.576000,302.147000,296.126000,6918400.000000
2011-03-08,296.762000,299.289000,296.451000,4565200.000000
2011-03-09,295.796000,297.553000,296.181000,4297600.000000
2011-03-10,293.013000,293.604000,290.440000,6249900.000000
2011-03-11,289.399000,290.290000,288.644000,6057900.000000
2011-03-14,286.687000,289.434000,285.280000,5626500.000000
2011-03-15,279.029000,285.786000,285.065000,8003100.000000
2011-03-16,284.289000,285.180000,278.829000,7589400.000000
2011-03-17,282.523000,284.785000,280.961000,5792800.000000
2011-03-18,282.603000,284.279000,280.811000,6590600.000000
2011-03-21,285.395000,290.190000,288.539000,6035700.000000
2011-03-22,288.924000,289.905000,288.949000,3770000.000000
2011-03-23,287.883000,291.517000,291.371000,3628700.000000
2011-03-24,293.008000,294.490000,293.739000,4193200.000000
2011-03-25,293.734000,293.749000,290.160000,5711000.000000
2011-03-28,291.326000,292.788000,287.968000,4432300.000000
2011-03-29,288.288000,291.236000,291.156000,3206300.000000
2011-03-30,292.482000,293.043000,291.211000,2841700.000000
2011-03-31,291.792000,294.374000,293.674000,4054700.000000
2011-04-01,294.675000,297.893000,296.196000,5221100.000000
2011-04-04,296.797000,297.668000,294.134000,4104800.000000
2011-04-05,290.831000,291.036000,284.830000,12082900.000000
2011-04-06,286.376000,287.868000,287.377000,5331200.000000
2011-04-07,288.153000,290.611000,290.290000,5057900.000000
2011-04-08,292.738000,292.738000,289.369000,3799700.000000
2011-04-11,288.388000,289.339000,288.974000,3712600.000000
2011-04-12,287.788000,288.744000,285.591000,4167000.000000
2011-04-13,288.043000,289.089000,288.428000,4134600.000000
2011-04-14,287.883000,290.015000,289.545000,10901600.000000
2011-04-15,272.918000,273.148000,265.616000,28059300.000000
2011-04-18,263.473000,264.094000,263.684000,10069500.000000
2011-04-19,265.240000,265.706000,261.026000,5362800.000000
2011-04-20,263.213000,263.674000,263.128000,6113800.000000
2011-04-21,264.009000,264.404000,262.813000,4935200.000000
2011-04-25,262.888000,263.764000,262.788000,3258300.000000
2011-04-26,263.524000,268.989000,266.677000,6993000.000000
2011-04-27,269.269000,269.324000,269.149000,4592200.000000
2011-04-28,269.299000,269.895000,269.254000,3996000.000000
2011-04-29,270.270000,272.322000,272.322000,8448500.000000
2011-05-02,273.123000,273.138000,269.550000,4263100.000000
2011-05-03,268.834000,271.276000,267.212000,4158800.000000
2011-05-04,267.853000,269.770000,268.163000,4229700.000000
2011-05-05,267.197000,269.980000,267.402000,3991600.000000
2011-05-06,269.344000,271.001000,267.918000,4108000.000000
2011-05-09,267.768000,269.515000,269.109000,3893500.000000
2011-05-10,270.270000,272.487000,271.602000,4081700.000000
2011-05-11,270.340000,272.047000,267.993000,4672900.000000
2011-05-12,267.888000,268.739000,267.793000,2893700.000000
2011-05-13,267.573000,268.228000,265.040000,4213100.000000
2011-05-16,263.418000,263.899000,259.469000,5910400.000000
2011-05-17,257.973000,265.876000,265.495000,6600500.000000
2011-05-18,265.035000,265.430000,265.170000,3902400.000000
2011-05-19,266.632000,268.539000,265.891000,4932400.000000
2011-05-20,266.166000,266.261000,262.277000,4630300.000000
2011-05-23,258.559000,260.260000,259.454000,4595400.000000
2011-05-24,260.445000,262.242000,259.389000,3796200.000000
2011-05-25,258.924000,261.647000,260.095000,2600500.000000
2011-05-26,259.109000,261.321000,259.324000,4232700.000000
2011-05-27,259.500000,261.156000,260.711000,3488100.000000
2011-05-31,262.763000,264.790000,264.775000,5369200.000000
2011-06-01,264.284000,266.867000,263.063000,5905800.000000
2011-06-02,264.049000,265.415000,264.294000,4404500.000000
2011-06-03,261.261000,264.064000,261.802000,3493500.000000
2011-06-06,262.032000,263.674000,260.791000,3880300.000000
2011-06-07,261.707000,262.578000,259.775000,3811300.000000
2011-06-08,258.524000,260.881000,259.845000,3303400.000000
2011-06-09,260.260000,260.260000,258.624000,3374800.000000
2011-06-10,257.297000,258.604000,255.010000,4874900.000000
2011-06-13,255.255000,255.355000,252.618000,4849700.000000
2011-06-14,254.329000,257.297000,254.439000,4678300.000000
2011-06-15,252.768000,254.429000,251.727000,4142400.000000
2011-06-16,251.657000,253.539000,250.435000,5508400.000000
2011-06-17,253.343000,253.599000,242.753000,10480300.000000
